snapshot_id,as_of_date,lane_id,metric,voyage_key,atd,atd_month,schedule_date,days,bl_count,status,bl_nos
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-23|2026-05-11,2026-03-23,2026-03,2026-05-11,49,3,schedule_passed,265802859;265800327;265802873
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-29|2026-05-17,2026-03-29,2026-03,2026-05-17,49,2,schedule_passed,265800324;265802857
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-04-04|2026-05-22,2026-04-04,2026-04,2026-05-22,48,3,schedule_passed,266985700;266986788;266986217
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-04-13|2026-06-03,2026-04-13,2026-04,2026-06-03,51,3,schedule_passed,266985697;266986790;266986216
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-04-21|2026-06-12,2026-04-21,2026-04,2026-06-12,52,2,schedule_passed,266986218;266985699
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-04-25|2026-06-22,2026-04-25,2026-04,2026-06-22,58,1,schedule_passed,266986220
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-04-27|2026-06-21,2026-04-27,2026-04,2026-06-21,55,2,schedule_passed,266986789;266985698
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-05-04|2026-06-26,2026-05-04,2026-05,2026-06-26,53,2,schedule_passed,266985701;266986219
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-05-11|2026-07-04,2026-05-11,2026-05,2026-07-04,54,3,schedule_passed,268921719;268912749;268922601
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-05-18|2026-07-15,2026-05-18,2026-05,2026-07-15,58,3,schedule_passed,268912751;268922605;268921721
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-05-26|2026-07-20,2026-05-26,2026-05,2026-07-20,55,1,schedule_passed,268923457
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-01|2026-07-28,2026-06-01,2026-06,2026-07-28,57,3,schedule_passed,268912759;268923459;268921720
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-07|2026-08-05,2026-06-07,2026-06,2026-08-05,59,1,schedule_passed,268923460
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-07|2026-08-15,2026-06-07,2026-06,2026-08-15,69,1,schedule_passed,268921723
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-09|2026-08-19,2026-06-09,2026-06,2026-08-19,71,1,schedule_passed,268912754
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-14|2026-08-15,2026-06-14,2026-06,2026-08-15,62,1,schedule_passed,268921722
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-14|2026-08-18,2026-06-14,2026-06,2026-08-18,65,3,schedule_passed,271078383;271077216;271079409
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-06-22|2026-08-31,2026-06-22,2026-06,2026-08-31,70,2,schedule_passed,271078385;271079417
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-04|2026-09-10,2026-07-04,2026-07,2026-09-10,68,2,eta,271079413;271079416
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-04|2026-09-13,2026-07-04,2026-07,2026-09-13,71,3,eta,271077222;271078390;271078389
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-08|2026-09-10,2026-07-08,2026-07,2026-09-10,64,1,eta,272245447
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-11|2026-09-11,2026-07-11,2026-07,2026-09-11,62,2,eta,271077219;271078017
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-16|2026-09-14,2026-07-16,2026-07,2026-09-14,60,1,eta,271886979
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-24|2026-09-16,2026-07-24,2026-07,2026-09-16,54,2,eta,271887742;271889995
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-07-31|2026-09-17,2026-07-31,2026-07,2026-09-17,48,4,eta,271887746;274077035;271889996;271888521
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-08-01|2026-09-27,2026-08-01,2026-08,2026-09-27,57,1,eta,271888522
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-08-07|2026-09-24,2026-08-07,2026-08,2026-09-24,48,2,eta,271888526;271887749
